year,month,video_count,keyword,source,video_count_lg1,ch_category,time
2015,1,0.0,_아이폰,t,0.0,가전제품,2015-01-01
2015,2,0.0,_아이폰,t,0.0,가전제품,2015-02-01
2015,3,0.0,_아이폰,t,0.0,가전제품,2015-03-01
2015,4,0.0,_아이폰,t,0.0,가전제품,2015-04-01
2015,5,0.0,_아이폰,t,0.0,가전제품,2015-05-01
2015,6,0.0,_아이폰,t,0.0,가전제품,2015-06-01
2015,7,0.0,_아이폰,t,0.0,가전제품,2015-07-01
2015,8,0.0,_아이폰,t,0.0,가전제품,2015-08-01
2015,9,0.0,_아이폰,t,0.0,가전제품,2015-09-01
2015,10,0.0,_아이폰,t,0.0,가전제품,2015-10-01
2015,11,0.0,_아이폰,t,0.0,가전제품,2015-11-01
2015,12,0.0,_아이폰,t,0.0,가전제품,2015-12-01
2016,1,0.0,_아이폰,t,0.0,가전제품,2016-01-01
2016,2,0.0,_아이폰,t,0.0,가전제품,2016-02-01
2016,3,0.0,_아이폰,t,0.0,가전제품,2016-03-01
2016,4,0.0,_아이폰,t,0.0,가전제품,2016-04-01
2016,5,0.0,_아이폰,t,0.0,가전제품,2016-05-01
2016,6,0.0,_아이폰,t,0.0,가전제품,2016-06-01
2016,7,0.0,_아이폰,t,0.0,가전제품,2016-07-01
2016,8,0.0,_아이폰,t,0.0,가전제품,2016-08-01
2016,9,0.0,_아이폰,t,0.0,가전제품,2016-09-01
2016,10,0.0,_아이폰,t,0.0,가전제품,2016-10-01
2016,11,0.0,_아이폰,t,0.0,가전제품,2016-11-01
2016,12,0.0,_아이폰,t,0.0,가전제품,2016-12-01
2017,1,0.0,_아이폰,t,0.0,가전제품,2017-01-01
2017,2,0.0,_아이폰,t,0.0,가전제품,2017-02-01
2017,3,0.0,_아이폰,t,0.0,가전제품,2017-03-01
2017,4,0.0,_아이폰,t,0.0,가전제품,2017-04-01
2017,5,0.0,_아이폰,t,0.0,가전제품,2017-05-01
2017,6,0.0,_아이폰,t,0.0,가전제품,2017-06-01
2017,7,0.0,_아이폰,t,0.0,가전제품,2017-07-01
2017,8,0.0,_아이폰,t,0.0,가전제품,2017-08-01
2017,9,6.0,_아이폰,t,0.0,가전제품,2017-09-01
2017,10,1.0,_아이폰,t,6.0,가전제품,2017-10-01
2017,11,1.0,_아이폰,t,1.0,가전제품,2017-11-01
2017,12,1.0,_아이폰,t,1.0,가전제품,2017-12-01
2018,1,0.0,_아이폰,t,1.0,가전제품,2018-01-01
2018,2,0.0,_아이폰,t,0.0,가전제품,2018-02-01
2018,3,0.0,_아이폰,t,0.0,가전제품,2018-03-01
2018,4,0.0,_아이폰,t,0.0,가전제품,2018-04-01
2018,5,1.0,_아이폰,t,0.0,가전제품,2018-05-01
2018,6,1.0,_아이폰,t,1.0,가전제품,2018-06-01
2018,7,1.0,_아이폰,t,1.0,가전제품,2018-07-01
2018,8,8.0,_아이폰,t,1.0,가전제품,2018-08-01
2018,9,16.0,_아이폰,t,8.0,가전제품,2018-09-01
2018,10,11.0,_아이폰,t,16.0,가전제품,2018-10-01
2018,11,15.0,_아이폰,t,11.0,가전제품,2018-11-01
2018,12,12.0,_아이폰,t,15.0,가전제품,2018-12-01
2019,1,11.0,_아이폰,t,12.0,가전제품,2019-01-01
2019,2,7.0,_아이폰,t,11.0,가전제품,2019-02-01
2019,3,4.0,_아이폰,t,7.0,가전제품,2019-03-01
2019,4,3.0,_아이폰,t,4.0,가전제품,2019-04-01
2019,5,5.0,_아이폰,t,3.0,가전제품,2019-05-01
2019,6,2.0,_아이폰,t,5.0,가전제품,2019-06-01
2019,7,4.0,_아이폰,t,2.0,가전제품,2019-07-01
2019,8,3.0,_아이폰,t,4.0,가전제품,2019-08-01
2019,9,13.0,_아이폰,t,3.0,가전제품,2019-09-01
2019,10,11.0,_아이폰,t,13.0,가전제품,2019-10-01
2019,11,4.0,_아이폰,t,11.0,가전제품,2019-11-01
2019,12,2.0,_아이폰,t,4.0,가전제품,2019-12-01
2020,1,3.0,_아이폰,t,2.0,가전제품,2020-01-01
2020,2,2.0,_아이폰,t,3.0,가전제품,2020-02-01
2020,3,4.0,_아이폰,t,2.0,가전제품,2020-03-01
2020,4,6.0,_아이폰,t,4.0,가전제품,2020-04-01
2020,5,3.0,_아이폰,t,6.0,가전제품,2020-05-01
2020,6,3.0,_아이폰,t,3.0,가전제품,2020-06-01
2020,7,2.0,_아이폰,t,3.0,가전제품,2020-07-01
2020,8,3.0,_아이폰,t,2.0,가전제품,2020-08-01
2020,9,2.0,_아이폰,t,3.0,가전제품,2020-09-01
2020,10,10.0,_아이폰,t,2.0,가전제품,2020-10-01
2020,11,19.0,_아이폰,t,10.0,가전제품,2020-11-01
2020,12,5.0,_아이폰,t,19.0,가전제품,2020-12-01
2021,1,5.0,_아이폰,t,5.0,가전제품,2021-01-01
2021,2,5.0,_아이폰,t,5.0,가전제품,2021-02-01
2021,3,1.0,_아이폰,t,5.0,가전제품,2021-03-01
2021,4,0.0,_아이폰,t,1.0,가전제품,2021-04-01
2021,5,0.0,_아이폰,t,0.0,가전제품,2021-05-01
2021,6,0.0,_아이폰,t,0.0,가전제품,2021-06-01
2021,7,0.0,_아이폰,t,0.0,가전제품,2021-07-01
2021,8,0.0,_아이폰,t,0.0,가전제품,2021-08-01
